batch_idx,SuccessType,SuccessValue,Frequency
0,ori_successes,0,6
0,ori_successes,1,119
0,ori_successes,2,255
0,recon_successes,0,225
0,recon_successes,1,135
0,recon_successes,2,20
100,ori_successes,0,13
100,ori_successes,1,114
100,ori_successes,2,253
100,recon_successes,0,235
100,recon_successes,1,134
100,recon_successes,2,11
200,ori_successes,0,9
200,ori_successes,1,115
200,ori_successes,2,256
200,recon_successes,0,235
200,recon_successes,1,136
200,recon_successes,2,9
300,ori_successes,0,3
300,ori_successes,1,119
300,ori_successes,2,258
300,recon_successes,0,235
300,recon_successes,1,132
300,recon_successes,2,13
400,ori_successes,0,5
400,ori_successes,1,127
400,ori_successes,2,248
400,recon_successes,0,219
400,recon_successes,1,149
400,recon_successes,2,12
