batch_size,SuccessType,DisplayMetric,SuccessValue,Frequency
1,ori_successes,Original,0,118.0
1,ori_successes,Original,1,886.0
1,ori_successes,Original,2,116.0
1,recon_successes,Reconstructed,0,345.0
1,recon_successes,Reconstructed,1,699.0
1,recon_successes,Reconstructed,2,76.0
2,ori_successes,Original,0,19.0
2,ori_successes,Original,1,612.0
2,ori_successes,Original,2,489.0
2,recon_successes,Reconstructed,0,541.0
2,recon_successes,Reconstructed,1,478.0
2,recon_successes,Reconstructed,2,101.0
4,ori_successes,Original,0,5.0
4,ori_successes,Original,1,212.0
4,ori_successes,Original,2,903.0
4,recon_successes,Reconstructed,0,717.0
4,recon_successes,Reconstructed,1,362.0
4,recon_successes,Reconstructed,2,41.0
8,ori_successes,Original,1,40.0
8,ori_successes,Original,2,1080.0
8,recon_successes,Reconstructed,0,803.0
8,recon_successes,Reconstructed,1,289.0
8,recon_successes,Reconstructed,2,28.0
16,ori_successes,Original,1,1.0
16,ori_successes,Original,2,1119.0
16,recon_successes,Reconstructed,0,837.0
16,recon_successes,Reconstructed,1,261.0
16,recon_successes,Reconstructed,2,22.0
1,random_baseline,Random Guessing,0,907.2
1,random_baseline,Random Guessing,1,201.6
1,random_baseline,Random Guessing,2,11.200000000000001
2,random_baseline,Random Guessing,0,907.2
2,random_baseline,Random Guessing,1,201.6
2,random_baseline,Random Guessing,2,11.200000000000001
4,random_baseline,Random Guessing,0,907.2
4,random_baseline,Random Guessing,1,201.6
4,random_baseline,Random Guessing,2,11.200000000000001
8,random_baseline,Random Guessing,0,907.2
8,random_baseline,Random Guessing,1,201.6
8,random_baseline,Random Guessing,2,11.200000000000001
16,random_baseline,Random Guessing,0,907.2
16,random_baseline,Random Guessing,1,201.6
16,random_baseline,Random Guessing,2,11.200000000000001
